site,plot,treatment,soil_moisture_jun.prop,soil_moisture_oct.prop,canopy_cover.prop,mv_sep.g,mv_inf_jul.prop,mv_inf_sep.prop
D1,1,fungicide,0.336,0.3506666666666667,0.8752,1.042,0.03661763149539634,0.14539347408829173
D1,2,fungicide,0.336,0.369,0.9584,6.1015,0.17111738312346214,0.13106613127919364
D1,3,fungicide,0.29600000000000004,0.285,0.9376,5.0100999999999996,0.060591827148896195,0.05127642162831082
D1,4,fungicide,0.243,0.304,0.39680000000000004,2.8081,0.16035296457696688,0.24582457889676293
D1,5,fungicide,0.298,0.26566666666666666,0.9584,5.2917,0.3559965888828591,0.06534761985751271
D1,6,fungicide,0.341,0.3403333333333333,0.9896,1.623,0.009000473709142587,0.011768330252618607
D1,7,fungicide,0.32299999999999995,0.3593333333333333,0.9376,4.9687,0.17541152263374485,0.19912653209088896
D1,8,fungicide,0.34700000000000003,0.361,0.948,1.1153,0.24641983932937475,0.1745718640724469
D1,9,fungicide,0.385,0.37366666666666665,0.5424,4.6012,0.18443029016277424,0.09903938103103538
D1,10,fungicide,0.325,0.33466666666666667,0.844,3.2618,0.12784046993352913,0.11830890919124411
D1,1,water,0.396,0.377,0.8336,5.933400000000001,0.06735658042744656,0.1999865170054269
D1,2,water,0.40700000000000003,0.35733333333333334,0.844,2.465,0.3697683868346201,0.29513184584178503
D1,3,water,0.308,0.35233333333333333,0.8544,7.203899999999999,0.2629138358675725,0.180902011410486
D1,4,water,0.38,0.337,0.9168000000000001,2.6226,0.017003630880339675,0.06859604972165027
D1,5,water,0.363,0.33333333333333337,0.9376,1.7296,0.038485033598045205,0.11771507863089732
D1,6,water,0.29,0.31633333333333336,0.9792,7.7051,0.11175381767700139,0.19182100167421579
D1,7,water,0.395,0.3426666666666667,0.8752,2.2423,0.26905522592423553,0.3036168220131115
D1,8,water,0.349,0.3483333333333334,0.9896,4.9207,0.22331217541834966,0.27370089621395327
D1,9,water,0.27,0.30866666666666664,0.948,5.5891,0.08702439024390245,0.14363672147572953
D1,10,water,0.34,0.3483333333333333,0.896,5.1798,0.26991150442477874,0.1407969419668713
D2,1,fungicide,0.285,0.31766666666666665,0.9688,3.1483999999999996,NA,0.2216046245712108
D2,2,fungicide,0.273,0.19366666666666668,0.9064,0.4652,0,0.040842648323301804
D2,3,fungicide,0.24,0.26033333333333336,0.7712,1.8447,0.028846299983281913,0.19103377242912126
D2,4,fungicide,0.149,0.2,0.636,5.8213,0.013089487850742966,0.09439472282823425
D2,5,fungicide,0.213,0.2723333333333333,0.9584,1.2947,0.08434642280796127,0.24546226925156409
D2,6,fungicide,0.245,0.25433333333333336,0.7816,1.0817999999999999,0.12825203252032522,0.2289702347938621
D2,7,fungicide,0.299,0.239,0.8752,0.1349,0.07245813608422243,0.06226834692364715
D2,8,fungicide,0.252,0.24100000000000002,0.9792,1.5242,0.16796908544439676,0.11888203647815247
D2,9,fungicide,0.319,0.31266666666666665,0.9168000000000001,2.9737,0.14163413768630234,0.28597370279449846
D2,10,fungicide,0.28800000000000003,0.27566666666666667,0.8128,0.5569,0,0.0037708744837493266
D2,1,water,0.21100000000000002,0.177,0.9584,0.3455,0,0.022575976845151953
D2,2,water,0.22899999999999998,0.26766666666666666,0.9168000000000001,4.8304,0.11332272340796617,0.3061651209009606
D2,3,water,0.301,0.2796666666666667,0.8648,1.4117,0,0.06601969256924277
D2,4,water,0.261,0.26666666666666666,0.9376,2.8507000000000002,0.04235199724912602,0.19430315361139366
D2,5,water,0.253,0.24666666666666665,0.8752,2.5833,0,0.32818487980490074
D2,6,water,0.308,0.24733333333333335,0.792,1.0342,0.16311569301260023,0.29491394314445946
D2,7,water,0.175,0.29533333333333334,0.896,2.3219,0.32019190654985397,0.27313837805245705
D2,8,water,0.28300000000000003,0.26566666666666666,0.8336,1.2561,0.3710231779324931,0.26638006528142666
D2,9,water,0.221,0.17933333333333334,0.532,1.2608,0.1541675671781572,0.23556472081218274
D2,10,water,0.28800000000000003,0.237,0.896,6.118499999999999,0.12702452568255435,0.27514913786058676
D3,1,fungicide,0.278,0.22833333333333333,0.8855999999999999,1.3851999999999998,0.027274408284023666,0.25851862546924637
D3,2,fungicide,0.294,0.2876666666666667,0.9792,3.9701999999999997,0.01252559315909912,0.267291320336507
D3,3,fungicide,0.28600000000000003,0.21433333333333335,0.8752,4.2762,0.06806189070745014,0.11912445629297037
D3,4,fungicide,0.31,0.26566666666666666,0.9376,4.1058,0.17272794607806827,0.1931414097130888
D3,5,fungicide,0.166,0.15866666666666668,0.948,1.3446,0,0.21642124051762604
D3,6,fungicide,0.055999999999999994,0.17233333333333334,0.8648,4.0631,0,0.14294504196303315
D3,7,fungicide,0.22,0.2596666666666667,0.8336,10.150300000000001,0.13648810695684857,0.18004393958799245
D3,8,fungicide,0.187,0.263,0.8752,8.2934,0.13906618628724007,0.1195408397038609
D3,9,fungicide,0.179,0.233,0.8648,2.0393,0.05150296764311699,0.2467022998087579
D3,10,fungicide,0.28800000000000003,0.3123333333333333,0.8128,6.8804,0,0.15868263473053895
D3,1,water,0.27,0.22,0.9792,2.4199,0.049617584677678524,0.3663374519608248
D3,2,water,0.11,0.16899999999999998,0.8855999999999999,3.7451999999999996,0.18368443680137578,0.3294617109900673
D3,3,water,0.087,0.2533333333333333,0.9168000000000001,6.0577000000000005,0.20844110039971786,0.23386763953315615
D3,4,water,0.042,0.217,0.7504,4.507,0.04571641323091394,0.1319724872420679
D3,5,water,0.305,0.2613333333333333,0.9376,5.6318,0.10136746700588328,0.2875102098796122
D3,6,water,0.131,0.154,0.9272,1.4052,0.5574095317551361,0.3331910048391688
D3,7,water,0.264,0.19466666666666665,0.74,6.3207,0.011467353147671425,0.22600344898508076
D3,8,water,0.3,0.26966666666666667,0.948,2.2841,0.03662813352383426,0.25756315397749663
D3,9,water,0.233,0.20933333333333334,0.948,3.4673999999999996,0,0.2830939608928881
D3,10,water,0.319,0.2366666666666667,0.8648,2.3891,0.030680483945071214,0.24172282449457955
D4,1,fungicide,0.233,0.18733333333333335,0.7192000000000001,1.1042,0.09608411892675853,0.025267161746060494
D4,2,fungicide,0.228,0.264,0.7192000000000001,4.4775,0.018354099828396628,0.0515466219988833
D4,3,fungicide,0.23399999999999999,0.276,0.6256,3.2281999999999997,0.016976490987539818,0.2013505978563906
D4,4,fungicide,0.22899999999999998,0.26233333333333336,0.8336,1.2728,0,0.11297925832809555
D4,5,fungicide,0.245,0.25266666666666665,0.7607999999999999,4.0595,0.04263275991024682,0.11417662273679026
D4,6,fungicide,0.132,0.27,0.45760000000000006,2.066,0,0.1484027105517909
D4,7,fungicide,0.302,0.273,0.8544,4.3732999999999995,0.01115355233002292,0.09075526490293372
D4,8,fungicide,NA,NA,NA,NA,NA,NA
D4,9,fungicide,0.153,0.23233333333333334,0.6464000000000001,1.9802,0.04804669959586887,0.1606908393091607
D4,10,fungicide,NA,NA,NA,NA,NA,NA
D4,1,water,0.24100000000000002,0.18066666666666667,0.5631999999999999,4.5494,0,0.22915109684793597
D4,2,water,0.172,0.161,0.7088,4.2926,0.09217081850533808,0.29049993011228625
D4,3,water,0.331,0.308,0.7816,0.9443999999999999,0.02260781099870005,0.2981787378229564
D4,4,water,0.273,0.282,0.636,1.897,0.01816395105560134,0.1437532946758039
D4,5,water,0.32299999999999995,0.265,0.8752,2.6523,0.0028371161548731635,0.19262526863476984
D4,6,water,0.289,0.2623333333333333,0.896,2.0088,0,0.3188968538430904
D4,7,water,0.285,0.331,0.6152,16.2785,0.017665418227215977,0.17996129864545257
D4,8,water,0.287,0.24533333333333332,0.8544,4.0646,0,0.021576538896816412
D4,9,water,0.293,0.2823333333333333,0.636,3.1974,0.0049416792805627285,0.16963783073747418
D4,10,water,0.272,0.298,0.7712,3.2214,0.022163555992141454,0.3206680325324393
