Parameter,Treatment,Estimate
alpha_AA,control,0.00181752994852825
alpha_AA,fungicide,0.0011484105401875105
alpha_AF,control,0
alpha_AF,fungicide,0
alpha_AP,control,0
alpha_AP,fungicide,4.157878892923789e-4
alpha_FA,control,4.2633812322065374e-4
alpha_FA,fungicide,7.84566189067841e-4
alpha_FF,control,0
alpha_FF,fungicide,0
alpha_FP,control,0
alpha_FP,fungicide,0.0013363588551045062
alpha_PA,control,5.484979516804112e-4
alpha_PA,fungicide,0
alpha_PF,control,0
alpha_PF,fungicide,0
alpha_PP,control,0.0076160441440731455
alpha_PP,fungicide,0.0013363588551045062
r_A,control,0.03731508651850043
r_A,fungicide,0.03877273973834996
r_F,control,0.03573462987840729
r_F,fungicide,0.037690390299118706
r_P,control,0.031335755925996425
r_P,fungicide,0.02866899544181286
beta_AA,control,2.9861974709824606e-5
beta_AA,fungicide,2.2260761305843718e-5
beta_AF,control,1.3451279386514741e-5
beta_AF,fungicide,1.5232691788954976e-5
beta_AP,control,1.8246916730659196e-5
beta_AP,fungicide,6.710288661181675e-6
beta_FA,control,4.4210315236541364e-5
beta_FA,fungicide,3.413072011359489e-5
beta_FF,control,6.29263117083088e-6
beta_FF,fungicide,1.7320963408443432e-5
beta_FP,control,1.791860694816912e-5
beta_FP,fungicide,4.491434127276029e-5
beta_PA,control,3.546269172614539e-5
beta_PA,fungicide,7.618300147176906e-5
beta_PF,control,1.967314956199465e-6
beta_PF,fungicide,0
beta_PP,control,0
beta_PP,fungicide,2.5807676821017653e-6
m_A,NA,0.0019382188280760476
m_F,NA,0.0019382188280760476
m_P,NA,0.0019382188280760476
h,NA,5500
beta_AC,NA,1e-7
beta_FC,NA,1e-7
beta_PC,NA,1e-7
v_A,NA,1e-4
v_F,NA,1e-4
v_P,NA,1e-4
a,NA,0.95
