effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),2.6263054108458626,0.1844923501164861,2.2608758858763656,2.9868057990812606
fixed,cond,NA,foca,-0.783983346669966,0.21814519376258898,-1.2139867554488275,-0.35941363386711006
fixed,cond,NA,focs,-2.259918372094296,0.15724223853351074,-2.5729742512217118,-1.9549554869736656
fixed,cond,NA,fungicide,0.29652745634945843,0.25244261053264466,-0.19787518613755586,0.7909701266248331
fixed,cond,NA,density,-0.012122745072109956,0.005291763832330799,-0.022509483857266616,-0.001703038311451731
fixed,cond,NA,foca:fungicide,-0.9342290940739877,0.3069864935398407,-1.5437014791594932,-0.3294092917843538
fixed,cond,NA,focs:fungicide,0.0646061188761552,0.21887948775629493,-0.36618597896487776,0.4922860400184811
fixed,cond,NA,density:bga,-5.159012500122216e-4,0.035400997955243575,-0.069439364252505,0.06895527488756191
fixed,cond,NA,density:bgs,0.020451277425862543,0.01564707334197599,-0.010208240425332733,0.05119994486153795
fixed,cond,NA,foca:density,0.0010251493572951908,0.006360987977876943,-0.011334243691901709,0.013776700456720352
fixed,cond,NA,focs:density,0.0036758231453972714,0.004611956152249879,-0.005243633450396475,0.012772513028311719
fixed,cond,NA,fungicide:density,-0.002663007816876092,0.007399554642204458,-0.01703870047548677,0.011777881523306387
fixed,cond,NA,foca:density:bga,-0.10407974406347342,0.04257633786425973,-0.1875812515781376,-0.020292710470151708
fixed,cond,NA,focs:density:bga,-0.022013941910024256,0.029998832020878927,-0.0802962753406295,0.036197490731985534
fixed,cond,NA,foca:density:bgs,-0.024363194890057147,0.018891029045597408,-0.06120488211962995,0.01263738951126711
fixed,cond,NA,focs:density:bgs,-0.0066572077024473885,0.013460482021912823,-0.032949678705641326,0.019633978206314913
fixed,cond,NA,fungicide:density:bga,-0.012499727214283137,0.04857490594092423,-0.1096629735451503,0.081560729930786
fixed,cond,NA,fungicide:density:bgs,-0.030194711454016122,0.02215533932910991,-0.07344041324220085,0.013420234173008992
fixed,cond,NA,foca:fungicide:density,0.011074687742718572,0.008990241207858905,-0.006524153397434962,0.02895853455621215
fixed,cond,NA,focs:fungicide:density,-0.0010841646532009802,0.006441531068848039,-0.013781447860941813,0.011319788369924593
fixed,cond,NA,foca:fungicide:density:bga,0.18731967067540653,0.060248286930649535,0.07011253578350658,0.30681473819393545
fixed,cond,NA,focs:fungicide:density:bga,0.0016447491770400261,0.04245884956228058,-0.07984854437959396,0.08493589987101799
fixed,cond,NA,foca:fungicide:density:bgs,0.060026990539763826,0.026914873146589947,0.007442044465648396,0.11280558676968201
fixed,cond,NA,focs:fungicide:density:bgs,0.01505247473139356,0.01911781926454913,-0.02182774252285062,0.053228179236374094
ran_pars,cond,plotf,sd__(Intercept),0.4345381241725605,0.05045384267627594,0.3452823911819629,0.5428071982914655
ran_pars,cond,Residual,sd__Observation,0.5865564847019479,0.020737585333079084,0.5471164038291363,0.6292305669382289
